X,Y,Z,out
251,-10,1000,0.826879541
798,-244,146,0.996469173
186,633,-335,-0.030914772
-928,-584,641,0.944004032
28,-82,769,0.636691519
634,-175,611,0.999209233
211,976,996,-0.510254822
473,-124,-730,-0.912969852
34,-859,-595,0.945454975
77,909,-843,-0.471572549
571,-530,842,0.053143791
-582,971,286,-0.969437184
-232,112,643,0.455969104
-577,773,-644,0.98588649
-467,-632,286,-0.114814759
-304,-402,-989,-0.566033088
271,271,901,0.680001394
-67,818,-948,0.37545372
-149,585,-170,0.78767737
-321,-465,-518,-0.354881994
744,8,707,-0.141179693
-224,172,862,-0.705551007
-8,785,606,0.921774647
116,-45,453,0.573406569
291,990,83,-0.921716198
-711,677,-109,-0.013216464
410,-620,-783,0.67681634
-129,-804,-748,-0.296426158
124,949,266,0.971570785
-812,427,373,0.967258239
-459,-710,-371,-0.287932185
-931,837,-758,0.232300463
505,153,-328,-0.956384734
143,180,27,-0.598460069
565,549,-227,-0.721058597
697,-111,211,-0.491047854
552,733,-918,-0.532782002
-952,-599,147,-0.502596441
274,-937,-634,0.566057938
344,247,-809,0.999204432
955,-188,939,0.329905457
327,191,-846,0.790470135
-404,797,758,0.56979988
-884,712,-883,-0.416201656
662,579,97,0.379607739
-921,965,80,-0.862273077
-586,526,-176,-0.21507583
-927,485,-718,0.367263293
379,935,790,0.367375441
466,204,-469,0.784999063
-612,571,-127,0.718006066
-223,-182,879,0.977533295
639,-767,-529,-0.936472548
-97,-747,-355,3.01444E-05
166,550,-42,-0.975616082
344,168,-853,0.998341892
-423,-240,-741,0.325781306
-309,-430,-796,0.923481578
184,-554,-195,-0.219454668
369,362,-54,0.558789049
-187,525,123,-0.937984302
825,-174,-7,-0.656986599
429,-830,615,-0.683217692
410,484,-850,0.98109969
-92,-758,403,0.768273958
-476,569,327,-0.931700465
371,-300,-731,-0.836622615
760,666,30,-0.988031624
-264,-928,403,0.768273958
172,-108,-118,0.981952169
-127,-523,677,-0.999912659
-154,450,169,-0.730152964
134,-928,-915,0.714939662
-819,-377,316,0.999960559
-285,-925,156,-0.881784619
-618,9,386,-0.911130262
322,-427,768,0.992879831
-334,182,560,0.977533295
-660,-854,450,-0.683283725
-422,-699,-304,-0.670206804
177,828,-529,0.189188621
209,903,952,-0.206393744
-320,756,318,-0.432232312
582,776,-633,-0.999645853
788,816,759,0.686530388
336,642,716,0.440088887
-607,340,969,0.75966831
-973,964,-991,-0.892045744
329,-145,-484,-0.193502967
-989,848,-127,0.97366264
-769,-255,653,-0.862303608
832,-183,-814,0.321679488
-70,974,757,0.994357872
806,882,-254,-0.70559373
-224,-755,-389,0.529057106
-79,398,-2,-0.555138375
966,529,850,0.980227732
-634,219,-237,0.612572066
332,611,223,0.039760639
-524,-132,477,0.998590072
431,979,914,0.383781955
207,916,-273,0.22382909
698,-367,366,0.999990073
-834,-484,794,0.98109969
34,945,723,-0.814233474
678,-88,111,-0.864551449
-537,-301,761,0.829326677
959,-123,-251,0.32159386
210,-378,403,0.768273958
-502,863,526,-0.5914183
-61,359,-360,0.653620807
831,524,-575,0.088428739
589,484,689,-0.836688659
-109,-868,288,-0.855504371
859,393,919,0.996461576
-679,-418,791,-0.985891536
901,-523,-133,-0.868965756
668,-309,-413,0.99287624
381,-606,361,0.279386554
956,-253,-365,-0.544046404
247,264,449,0.994364266
86,-459,653,-0.436110503
-961,121,113,-0.048663609
581,557,-721,0.999989938
-466,-633,617,0.948301277
-396,-774,-496,0.363143279
385,-835,361,0.279386554
841,806,9,0.412118485
407,-784,527,-0.708637871
-901,-942,-895,-0.346564628
-795,88,-991,0.999373284
-235,50,-136,0.964966028
624,902,904,-0.934868305
-217,550,-374,-0.975616082
293,751,324,-0.987329713
-243,-118,-734,0.189129421
333,-541,-772,0.73914009
-852,816,-373,0.686530388
856,816,-116,-0.236661393
315,-408,288,-0.855504371
768,186,-675,-0.428128186
218,902,793,-0.934868305
635,-552,335,0.912932949
-310,316,-147,-0.266671985
477,-364,-539,0.976577898
-201,801,892,-0.994373849
-366,869,-419,-0.342551421
-527,356,-964,-0.54027694
779,414,-502,0.609020113
-756,-556,252,-0.998084826
743,-954,874,0.594981236
521,-851,-23,0.846220404
268,-178,-481,0.330019281
593,-590,-492,-0.942504381
155,-150,-893,-0.708722942
-29,962,-395,0.782174548
240,-723,-792,-0.313286037
-281,264,776,0.994364266
-946,-439,909,0.680045597
-609,311,670,-0.999843842
-650,543,865,-0.879717261
927,-810,-424,-0.114754869
631,-988,-383,0.270876771
814,656,32,0.551426681
226,400,-371,-0.525296339
214,-823,38,0.296368579
-554,-728,368,-0.420194391
432,987,-306,0.857756609
777,300,651,-0.636784493
-334,-261,138,-0.969451973
